timestamp,session_id,trial_id,condition,ai_category,ai_text,ai_calories,ai_uncertainty,human_action,manual_input,final_entry,human_intervention,explanation_variant,correct,decision_time_ms,image_id
13/01/2026 21:07,00526388-169f-42f6-bf39-09927e02cff6,1,Humain (H_only),na,na,na,na,override,"Dessert fruits rouges, 500 Kcal, 10g/50g/15g","Dessert fruits rouges, 500 Kcal, 10g/50g/15g",1,na,na,88037,dessert_1.jpg
13/01/2026 21:10,00526388-169f-42f6-bf39-09927e02cff6,2,Humain (H_only),na,na,na,na,override,"Pizza au fromage, 700 Kcal, 30 g / 70 g / 30 g","Pizza au fromage, 700 Kcal, 30 g / 70 g / 30 g",1,na,na,63101,pizza_3.jpg
13/01/2026 21:13,00526388-169f-42f6-bf39-09927e02cff6,3,Humain (H_only),na,na,na,na,override,"Salade de carottes râpées, 160 kcal, 2 g / 20 g / 8 g","Salade de carottes râpées, 160 kcal, 2 g / 20 g / 8 g",1,na,na,58787,legume_3.jpg
13/01/2026 21:15,00526388-169f-42f6-bf39-09927e02cff6,4,Humain (H_only),na,na,na,na,override,"Filet de poisson sole, 320 kcal, 20 g / 10 g / 10 g","Filet de poisson sole, 320 kcal, 20 g / 10 g / 10 g",1,na,na,56374,poisson_3.jpg
13/01/2026 21:21,00526388-169f-42f6-bf39-09927e02cff6,5,Humain (H_only),na,na,na,na,override,"Pates au fromage / huile d'olive / parmesan, 600 kcal, 15 g / 60 g / 30 g","Pates au fromage / huile d'olive / parmesan, 600 kcal, 15 g / 60 g / 30 g",1,na,na,73628,pates_3.jpg
13/01/2026 21:22,00526388-169f-42f6-bf39-09927e02cff6,6,Humain (H_only),na,na,na,na,override,"Jus d'orange, 100 kcal, 2 g / 20 g / 0 g","Jus d'orange, 100 kcal, 2 g / 20 g / 0 g",1,na,na,47647,boisson_3.jpg
13/01/2026 21:24,00526388-169f-42f6-bf39-09927e02cff6,7,Humain (H_only),na,na,na,na,override,"Salade tomates / maïs / fromage / roquette / filet d'huile, 350 kcal, 15 g / 40 g / 20 g","Salade tomates / maïs / fromage / roquette / filet d'huile, 350 kcal, 15 g / 40 g / 20 g",1,na,na,90849,salade_3.jpg
13/01/2026 21:26,00526388-169f-42f6-bf39-09927e02cff6,8,Humain (H_only),na,na,na,na,override,"Barre de céreales au chocolat, 200 kcal, 5 g / 30 g / 10 g","Barre de céreales au chocolat, 200 kcal, 5 g / 30 g / 10 g",1,na,na,47595,snack_1.jpg
13/01/2026 21:27,00526388-169f-42f6-bf39-09927e02cff6,9,Humain (H_only),na,na,na,na,override,"Grillade de boeuf et frites, 850 kcal, 40 g / 40 g / 50 g","Grillade de boeuf et frites, 850 kcal, 40 g / 40 g / 50 g",1,na,na,43239,viande_2.jpg
13/01/2026 21:28,00526388-169f-42f6-bf39-09927e02cff6,10,Humain (H_only),na,na,na,na,override,"Oeufs brouillés, 300 kcal, 20 g / 5 g / 20 g","Oeufs brouillés, 300 kcal, 20 g / 5 g / 20 g",1,na,na,33100,oeuf_2.jpg
